id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1953657,2 Bedrooms fit for family/58 sqm./4 mins to BTS,10099278,Karjsanit,,Vadhana,13.7085,100.60039,Entire home/apt,1300,28,71,11-08-2025,0.5,1,178,3,
1961981,S1 hostel (Dorm) Sathorn Bangkok,10138065,S1,,Sathon,13.72157,100.54509,Shared room,380,1,94,24-03-2025,0.71,3,365,3,
1963939,Parkview BKK/ Cozy studio room/ Pratunam market,10146514,Benja,,Ratchathewi,13.75650176,100.5416617,Private room,950,1,5,17-02-2024,0.17,5,362,0,
1976962,River Side Luxury View,10204823,Jahidul,,Yan na wa,13.70497,100.55134,Private room,,1,0,,,1,0,0,
1980886,New and Modern Spacious Apartment,10222460,Preeda,,Phra Khanong,13.6937,100.59897,Entire home/apt,,3,0,,,1,0,0,
1982413,Hip Room â™¥ Of BKK+River+BTS+WIFI,3346331,Bee,,Sathon,13.71278,100.5156,Entire home/apt,761,2,494,08-09-2025,3.44,7,242,26,
2064413,BH : Double Room - Near BTS,8664261,Kriengkrai,,Sathon,13.71659,100.51588,Private room,,1,0,,,4,0,0,
1019241,Chic two bedroom for Monthly rental,3323622,Phoebe,,Bang Rak,13.72687,100.52725,Entire home/apt,,30,102,20-02-2020,0.68,1,0,0,
1026451,"â™¡Chic Studio, Easy Walk to Pier & BTS Taksinâ™¡",3346331,Bee,,Sathon,13.71192,100.51535,Entire home/apt,731,2,570,16-09-2025,3.78,7,280,35,
1028469,One Bedroom Suites,2148220,Marvin,,Sathon,13.71602,100.52663,Private room,,1,0,,,3,0,0,
1028486,Deluxe Studio,2148220,Marvin,,Sathon,13.71798,100.52841,Private room,,1,4,12-11-2014,0.03,3,0,0,
1035351,Room for Group stay 4pax,4115838,Primrose,,Thawi Watthana,13.79318,100.33369,Private room,4000,1,0,,,6,361,0,
1035589,Double  Bed Apartment,4115838,Primrose,,Thawi Watthana,13.79274,100.33377,Private room,1700,2,5,30-04-2025,0.14,6,327,3,
1035640,Double Bed Apartment,4115838,Primrose,,Thawi Watthana,13.79315,100.33356,Private room,2012,2,1,08-07-2023,0.04,6,361,0,
1041976,"Tranquil Large Entire Floor w/ Free Transfer, Siam",5735895,Pariya,,Parthum Wan,13.74757,100.52878,Entire home/apt,3048,3,370,22-09-2025,2.52,2,321,46,
1052180,"City View, relaxed theme & delicious food around",5793490,Nicky,,Bang Kho laen,13.69947,100.52726,Entire home/apt,896,2,50,25-07-2025,0.35,6,267,6,
1057173,Modern Condo Near BTS Udom Suk â€“ Walkable Location,5822937,Piya,,Bang Na,13.67991,100.61055,Entire home/apt,950,10,195,09-08-2025,1.35,1,240,13,
1060320,Mix Dorm  Decor do Hostel,5171292,Somsak,,Khlong San,13.72214,100.50752,Shared room,256,1,12,08-02-2020,0.09,8,87,0,
1067748,5 mins by car from Chong Nonsi BTS Station,4154759,Mimi,,Sathon,13.71498,100.53312,Entire home/apt,1316,1,65,09-09-2025,0.54,5,96,15,
1079039,Spacious 1Bed apartment,5935474,Tisa,,Huai Khwang,13.75224,100.58979,Entire home/apt,1015,15,0,,,1,270,0,
1094136,"Private, relaxed with amenities",5793490,Nicky,,Bang Kho laen,13.6993291,100.5272899,Entire home/apt,1224,2,32,31-01-2025,0.24,6,163,3,
1133843,à¹€à¸®à¹‰à¸²à¸ªà¹Œà¹‚à¸«à¸¡à¸” House Mode,6220137,Prapussorn,,Thon buri,13.72646256,100.4912934,Private room,,1,0,,,1,0,0,
1138679,1 Bed Pool Access Onnut BTS,4877320,Nisa,,Suanluang,13.71119,100.63334,Entire home/apt,8823,21,0,,,2,365,0,
1141969,Great location on a charming loft,6262801,Andrea,,Bang Rak,13.72687,100.52326,Entire home/apt,2739,30,8,22-01-2019,0.05,1,83,0,
1151862,phiyapa,6313832,Psirivedin,,Don Mueang,13.9277,100.58757,Private room,,1,0,,,1,0,0,
1155399,"Premium2B2BApt10m,Subway,Airport",6329126,Borisut,,Ratchathewi,13.75086,100.55932,Private room,,180,0,,,1,0,0,
1160838,Spacious 2 Bedroom Apartment near BTS-non smoking,1513875,Suchada,,Phaya Thai,13.7736,100.54079,Entire home/apt,2696,1,666,19-09-2025,5.2,4,359,226,
1178280,Crane nest 14 loft with views over Sathorn,1927968,Ivan,,Sathon,13.72048,100.54682,Entire home/apt,1329,10,38,14-08-2025,0.29,63,365,7,
1187726,Private Studio Bed Room Walkable from BTS Ari,5402740,Nattha,,Phaya Thai,13.77808,100.5416,Entire home/apt,808,120,19,11-06-2024,0.24,1,270,0,
1218098,Transit DMK & Not far from Impact,6647138,NiNew,,Lak Si,13.88974,100.56257,Private room,,1,28,12-11-2023,0.19,4,357,0,
1218415,Cozy 5-10 min walk to 2 train st,6648638,Yamilah,,Bang Kapi,13.76234,100.64894,Entire home/apt,1105,2,1,29-12-2024,0.11,2,206,1,
1227663,Cool Luxury Apt in Best Location (great wifi),5469059,Andrew,,Parthum Wan,13.7402,100.54093,Entire home/apt,4073,27,127,02-04-2025,0.85,1,272,3,
1235695,Furnished studio 5min from Skytrain,4583001,Suchela,,Phaya Thai,13.78761,100.55319,Entire home/apt,,365,0,,,2,0,0,
1244333,"Private Room@Chatuchak,BTS,JJ market,DMK airport",2087671,Apipu,,Phaya Thai,13.79221,100.54631,Private room,,1,33,15-03-2020,0.44,1,0,0,
1255386,SSIP HOME-15minWalkKhaosan-FreeBreakfast-TripleBed,6838199,Sirikamol,,Dusit,13.77073,100.50478,Private room,,1,0,,,3,0,0,
1296322,Mini chic Apartment -BTS S Taksin,2129668,Wimonpak,,Sathon,13.71425,100.51332,Entire home/apt,727,1,236,12-02-2025,1.59,42,89,13,
1302302,2 Beds Serviced Modern Oriental SkyVillas,6132593,Salvatore,,Sathon,13.72027,100.52851,Entire home/apt,3269,2,161,27-07-2025,1.1,8,175,6,
1316688,Contemporary Modern Duplex - Thonglor,5394070,Eva,,Khlong Toei,13.72242,100.57962,Entire home/apt,1293,30,89,25-06-2025,0.61,1,144,4,
1338281,Loft Studio 6 min BTS Sapan Taksin,2129668,Wimonpak,,Sathon,13.71506,100.51319,Entire home/apt,1002,1,140,12-08-2025,0.96,42,362,10,
1338489,FABB Modern 4 BTS Sapan Taksin,2129668,Wimonpak,,Sathon,13.7133,100.51337,Entire home/apt,950,1,182,22-02-2025,1.22,42,164,9,
1341114,Five artist loft apartments,7273604,Nim,,Bang Na,13.67826,100.60592,Entire home/apt,1750,28,0,,,4,365,0,
1341890,"Studio near Airport Link Ramkhamhaeng, Kitchen",7278395,Niramol,,Huai Khwang,13.74538,100.59943,Entire home/apt,933,30,68,05-07-2025,0.46,10,270,6,
1344388,comfortable in Bangkok Near MRT,2653642,Hab,,Din Daeng,13.77126,100.57088,Private room,,2,0,,,1,0,0,
1350390,3.# Bargain Deal Cool  apartment 5 min BTS Taksin,2129668,Wimonpak,,Sathon,13.71628,100.51238,Entire home/apt,903,1,146,17-08-2025,0.98,42,326,16,
1388584,"The Oasis Ari, 90 sqm house (1.5 bedroom)",7511818,Rojanayol,,Phaya Thai,13.78662,100.53913,Entire home/apt,2457,2,33,05-09-2025,0.22,1,229,29,
1394285,Superior Double Room Near Airport,7489121,Anis,,Suanluang,13.73789,100.64271,Private room,817,1,13,19-07-2024,0.12,12,364,0,
1395513,Superior Twin Room Near Airport,7489121,Anis,,Suanluang,13.73613,100.64319,Private room,914,1,0,,,12,365,0,
1400351,Studio in Beung Kum,7489121,Anis,,Bueng Kum,13.78327,100.67124,Private room,616,1,3,19-09-2019,0.04,12,346,0,
1404697,Superior Double Room Near Yanhen Hospital,7489121,Anis,,Bang Phlat,13.80698,100.5121,Private room,903,1,0,,,12,365,0,
1405479,Junior Family Room Near Yanhee Hospital.,7489121,Anis,,Bang Phlat,13.807,100.51059,Private room,1564,1,0,,,12,364,0,
1405480,Superior Twin Room Near Yanhee Hospital,7489121,Anis,,Bang Phlat,13.80657,100.51192,Private room,945,1,0,,,12,365,0,
1406065,Superior Db Rm Near Yanhee Hospital,7489121,Anis,,Bang Phlat,13.80685,100.5125,Private room,945,1,0,,,12,365,0,
